id,name,tvg_name,group,reason
ETVTelugu.in@USA,"like Gecko) Chrome/145.0.0.0 Safari/537.36"" group-title=""Entertainment"",ETV Telugu USA (720p)",,Entertainment,no-safe-match
FilmRiseForensicFiles.us@SD,Forensic Files (720p) [Geo-blocked],,Movies,no-safe-match
FoxNewsRadio.us@SD,Fox News Radio (720p),,News,no-safe-match
FreebieTV.us@SD,Freebie TV (720p) [Not 24/7],,Entertainment,no-safe-match
GalxyTV.us@SD,Galxy TV (720p),,Entertainment,no-safe-match
KBPXLD465.us@SD,Geb Tv (KBPX LD5) (1080p),,Culture;News,no-safe-match
GiggleMug.us@SD,Giggle Mug (576p),,Kids,no-safe-match
GirlfriendsFilms.us@SD,Girlfriends,,Movies,no-safe-match
GlobalWorldTV.us@SD,GlobalWorldTV (720p),,Entertainment,no-safe-match
GrjngoWesternMovies.de@SD,Grjngo Western Movies (720p),,Movies,no-safe-match
Heartland.us@Eastern,Heartland (720p),,Entertainment,matched-but-zero-programmes
HumorMill.us@SD,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Comedy"",Humor Mill (1080p)",,Comedy,no-safe-match
INWILD.nl@SD,INWILD (1080p),,Documentary,no-safe-match
KContentbyCJENM.us@SD,K Content by CJ ENM (1080p),,Entertainment,no-safe-match
KCKSLD253.us@HD,KCKS-LD 25.3 (720p),,Entertainment,no-safe-match
KetchupTV.us@SD,Ketchup TV (720p),,Kids,no-safe-match
KFTRDT461.us@HD,KFTR-DT1 [Geo-blocked],,Entertainment,no-safe-match
KPVMLD254.us@SD,KPVM OAN Plus,,News,no-safe-match
KPVMLD253.us@HD,KPVM Real America's Voice,,News,no-safe-match
KPVMLD256.us@SD,KPVM Story Television,,Documentary,no-safe-match
KQED92.us@HD,KQED-DT2 (1080p),,Entertainment,no-safe-match
KRGVTV52.us@HD,KRGV-DT2 [Geo-blocked],,Entertainment,no-safe-match
KTOOTV33.us@HD,KTOO 360TV 3 (FNX),,Documentary,no-safe-match
KVIE62.us@HD,KVIE-DT2 (1080p),,Entertainment,no-safe-match
KVVBLD331.us@SD,KVVB-TV 33 Victor Valley (1080p) [Not 24/7],,Entertainment,no-safe-match
LindellTV.us@SD,Lindell TV (720p),,News,no-safe-match
LogosTVKids.es@SD,Logos TV Kids (720p) [Not 24/7],,Kids;Religious,no-safe-match
LoveHipHop.us@SD,Love & Hip Hop,,Series,no-safe-match
LoveThePlanet.es@EN,Love the Planet (1080p),,Documentary,no-safe-match
MagnificentMoviesNetwork.us@SD,Magnificent Movies Network,,Movies;Shop,no-safe-match
MBC3USA.us@SD,MBC 3 USA (1080p) [Geo-blocked],,Kids,no-safe-match
MCN6MainChannel.us@SD,MCN6 (1080p) [Not 24/7],,Entertainment;General,no-safe-match
MCN6MusicChannel.us@SD,MCN6 Music Channel (1080p) [Not 24/7],,Animation;Kids;Music,no-safe-match
MMATV.us@SD,MMA-TV (576p),,Sports,no-safe-match
MTV.us@East,MTV (720p),,Entertainment,no-safe-match
MTV2.us@East,MTV2 (1080p),,Entertainment,no-safe-match
KCWX351.us@HD,myTV San Antonio TX (KCWX-TV) (720p) [Not 24/7],,Entertainment,no-safe-match
NationalGeographic.us@East,National Geographic (720p),,Documentary,matched-but-zero-programmes
NationalGeographicWild.us@East,National Geographic Wild (720p),,Documentary,matched-but-zero-programmes
NBCLX.us@SD,NBCLX (1080p),,Entertainment,no-safe-match
NCMEducationalKidsChannel.us@SD,NCM Educational & Kids Channel,,Education;Kids,no-safe-match
News12PlusConnecticut.us@HD,News12+ Connecticut (1080p) [Geo-blocked],,News,no-safe-match
News12PlusHudsonValley.us@HD,News12+ Hudson Valley (1080p) [Geo-blocked],,News,no-safe-match
News12PlusLongIsland.us@HD,News12+ Long Island (1080p) [Geo-blocked],,News,no-safe-match
News12PlusNewJersey.us@HD,News12+ New Jersey (1080p) [Geo-blocked],,News,no-safe-match
News12PlusNewYork.us@HD,News12+ New York (1080p) [Geo-blocked],,News,no-safe-match
News12Conneticut.us@SD,News12 Conneticut [Geo-blocked],,News,no-safe-match
News12LongIsland.us@SD,News12 Long Island (1080p) [Geo-blocked],,News,no-safe-match
NewsmaxSpanish.us@SD,Newsmax Spanish (1080p),,News,no-safe-match
NewsNet.us@SD,NewsNet (720p) [Not 24/7],,News,no-safe-match
NFLNetwork.us@SD,NFL Network (720p),,Sports,no-safe-match
NewsoftheWorld.us@Arabic,NOW News Arabic (720p),,News,no-safe-match
NewsoftheWorld.us@Spanish,NOW News Spanish (1080p),,News,no-safe-match
NewsoftheWorld.us@USA,NOW News USA (1080p),,News,no-safe-match
NTDTVEnglish.us@USA,NTD TV English (1080p),,General;News,no-safe-match
Olelo55.us@SD,Olelo Community Media Channel 55 (720p),,Entertainment,no-safe-match
OmideIranTV.us@SD,Omide Iran,,Entertainment,no-safe-match
Oxygen.us@East,Oxygen (720p),,Entertainment,no-safe-match
