id,name,tvg_name,group,source,source_id,method,score,programmes
BloombergTV.us@US,Bloomberg TV (1080p),,Business,EPGShare Plex,plex.tv.Bloomberg.TV.plex,fallback-exact-normalized-name,95,72
BloombergTV.us@LiveEvent,Bloomberg TV US Live Event (720p),,Business,EPGShare Plex,plex.tv.Bloomberg.TV.plex,fallback-exact-normalized-name,95,72
BloombergTV.us@PoliticsLiveEvent,Bloomberg TV US Politics Live Event (720p),,Business,EPGShare Plex,plex.tv.Bloomberg.TV.plex,fallback-exact-normalized-name,95,72
BlueBloods.us@SD,Blue Bloods,,Series,IPTV-EPG.org US,BlueBloods.pluto,primary-exact-id-base,94,30
bonappetit.us@SD,bon appétit (1080p),,Cooking,IPTV-EPG.org US,BonAppetit.us,primary-exact-normalized-name,95,166
Bonanza.us@SD,Bonanza,,Movies;Series,IPTV-EPG.org US,Bonanza.pluto,primary-exact-id-base,94,30
BounceXL.us@SD,Bounce XL (1080p),,Entertainment,IPTV-EPG.org US,BounceXL.us,primary-exact-normalized-name,95,181
BratTV.us@SD,Brat TV (1080p),,Kids,IPTV-EPG.org US,BratTV.us,primary-exact-normalized-name,95,218
Bravo.us@East,Bravo (720p),,Undefined,EPGShare US2,Bravo.HD.us2,fallback-exact-normalized-name,95,87
BritBoxMysteries.us@SD,BritBox Mysteries (1080p),,Documentary,IPTV-EPG.org US,BritBoxMysteries.pluto,primary-exact-id-base,94,26
Buzzr.us@SD,Buzzr (1080p),,Entertainment,IPTV-EPG.org US,BUZZR.us,primary-exact-normalized-name,95,288
BYUTV.us@SD,BYUtv (1080p),,Undefined,IPTV-EPG.org US,BYUtv.us,primary-exact-id-base,94,196
CSPAN.us@SD,C-SPAN (720p),,Legislative,IPTV-EPG.org US,CSPAN.us,primary-exact-normalized-name,95,91
CSPAN2.us@SD,C-SPAN 2 (720p),,Legislative,IPTV-EPG.org US,CSPAN2.us,primary-exact-normalized-name,95,112
CampSpoopy.us@SD,Camp Spoopy (576p),,Kids,EPGShare Plex,plex.tv.Camp.Spoopy.plex,fallback-exact-normalized-name,95,47
CarChase.us@SD,Car Chase (720p),,Entertainment,IPTV-EPG.org US,CarChase.us,primary-exact-normalized-name,95,161
CatholicTV.us@SD,Catholic TV (1080p),,Religious,IPTV-EPG.org US,CatholicTV.us,primary-exact-normalized-name,95,317
CBNNews.us@SD,CBN News Channel (1080p),,Religious,IPTV-EPG.org US,CBNNews.us,primary-exact-normalized-name,95,267
CBS.us@East,CBS (1080p),,General,IPTV-EPG.org US,CBS4K.us,primary-exact-normalized-name,95,40
CBSenespanol.us@SD,CBS en español,,Entertainment,IPTV-EPG.org US,CBSenespañol.pluto,primary-exact-id-base,94,30
CBSNews247.us@SD,CBS News 24/7 (720p),,News,IPTV-EPG.org US,CBSNews24/7.pluto,primary-exact-id-base,94,37
CBSNewsBaltimore.us@SD,CBS News Baltimore (720p),,News,IPTV-EPG.org US,CBSNewsBaltimore.pluto,primary-exact-id-base,94,39
CBSNewsBayArea.us@SD,CBS News Bay Area (720p),,News,IPTV-EPG.org US,CBSNewsBayArea.us,primary-exact-normalized-name,95,222
CBSNewsBoston.us@SD,CBS News Boston (720p),,News,IPTV-EPG.org US,CBSNewsBoston.pluto,primary-exact-id-base,94,38
CBSNewsChicago.us@SD,CBS News Chicago (720p),,News,IPTV-EPG.org US,CBSNewsChicago.pluto,primary-exact-id-base,94,33
CBSNewsColorado.us@SD,CBS News Colorado (720p),,News,IPTV-EPG.org US,CBSNewsColorado.pluto,primary-exact-id-base,94,30
CBSNewsDetroit.us@SD,CBS News Detroit (720p),,News,IPTV-EPG.org US,CBSNewsDetroit.pluto,primary-exact-id-base,94,43
CBSNewsLosAngeles.us@SD,CBS News Los Angeles (720p),,News,IPTV-EPG.org US,CBSNewsLosAngeles.pluto,primary-exact-id-base,94,40
CBSNewsMiami.us@SD,CBS News Miami (720p),,News,IPTV-EPG.org US,CBSNewsMiami.pluto,primary-exact-id-base,94,46
CBSNewsMinnesota.us@SD,CBS News Minnesota (720p),,News,IPTV-EPG.org US,CBSNewsMinnesota.pluto,primary-exact-id-base,94,33
CBSNewsNewYork.us@SD,CBS News New York (720p),,News,IPTV-EPG.org US,CBSNewsNewYork.pluto,primary-exact-id-base,94,34
CBSNewsPittsburgh.us@SD,CBS News Pittsburgh (720p),,News,IPTV-EPG.org US,CBSNewsPittsburgh.us,primary-exact-normalized-name,95,234
CBSNewsSacramento.us@SD,CBS News Sacramento (720p),,News,IPTV-EPG.org US,CBSNewsSacramento.pluto,primary-exact-id-base,94,33
CBSSportsGolazoNetwork.us@SD,CBS Sports Golazo Network (720p),,Sports,IPTV-EPG.org US,CBSSportsGolazoNetwork.us,primary-exact-normalized-name,95,114
CBSSportsHQ.us@SD,CBS Sports HQ (1080p) [Geo-blocked],,Sports,IPTV-EPG.org US,CBSSportsHQ.us,primary-exact-normalized-name,95,50
CelebrityNameGame.us@SD,Celebrity Name Game (1080p) [Geo-blocked],,Series,EPGShare Plex,plex.tv.Celebrity.Name.Game.plex,fallback-exact-normalized-name,95,237
