id,name,tvg_name,group,reason
BloombergOriginals.us@SD,Bloomberg Originals (1080p),,Business;Documentary,matched-but-zero-programmes
BATVGovernmentTV.us@SD,Bloomfield Access Government TV (480p),,Legislative,no-safe-match
BATV.us@SD,Bloomfield Access TV Channel 5 (480p),,General,no-safe-match
BMCHDTV.us@SD,BMC-HD TV (720p),,General,no-safe-match
CVCEducation.us@SD,Bolton Community Voice Channel (CVC) Education (Bolton CT) (480p),,Education,no-safe-match
CVCGovernment.us@SD,Bolton Community Voice Channel (CVC) Government (Bolton CT) (480p),,Legislative,no-safe-match
CVCPublic.us@SD,Bolton Community Voice Channel (CVC) Public (Bolton CT) (480p),,General,no-safe-match
Bounce.us@SD,Bounce (1080p),,Undefined,no-safe-match
BPXTVRadio.us@SD,BPX TV Radio,,Music,no-safe-match
BrevardGovernmentAccessTV.us@SD,Brevard County Government Access TV (Brevard FL) (720p),,Legislative,no-safe-match
BPTV.us@SD,Buena Park Television (360p),,Legislative,no-safe-match
TheBurbankChannel.us@SD,Burbank Channel (720p),,General,no-safe-match
BusinessRockstars.us@SD,Business Rockstars (720p),,Business,no-safe-match
BUTV10.us@SD,BUTV10 (Boston University) (1080p) [Not 24/7],,Education,no-safe-match
BXArts.us@SD,BX Arts (720p),,Culture,no-safe-match
BXCulture.us@SD,BX Culture (720p),,Culture,no-safe-match
BXInform.us@SD,BX Inform (1080p),,General;News,no-safe-match
BXInspire.us@SD,BX Inspire (720p),,General;Religious,no-safe-match
BXOmni.us@SD,BX Omni (720p),,General,no-safe-match
CafeTradeTV.ir@SD,Cafe Trade TV,,Business,no-safe-match
CTV.us@SD,Calabasas Channel (480p),,Undefined,no-safe-match
CaliforniaMusicChannel.us@SD,California Music Channel (1080p),,Music,no-safe-match
CameraSmileTV.us@SD,Camera Smile (480p),,Comedy,no-safe-match
CANTV19.us@SD,CAN TV19 (1080p),,General,no-safe-match
CANTV21.us@SD,CAN TV21 (1080p),,General,no-safe-match
CANTV27.us@SD,CAN TV27 (1080p),,General,no-safe-match
CANTV36.us@SD,CAN TV36 (1080p),,General,no-safe-match
CanaldelaFe.us@SD,Canal de la Fe (720p),,Religious,no-safe-match
CityTVCarlsbad.us@SD,Carlsbad City TV Channel (Carlsbad CA) (720p),,General,no-safe-match
CBNEspanol.us@SD,CBN Espanol (1080p),,Religious,no-safe-match
CBNFamily.us@SD,CBN Family (1080p),,Religious,no-safe-match
KUTV21.us@HD,CBS 2 Salt Lake City UT (KUTV) (1080p),,General,no-safe-match
WWMT31.us@HD,CBS 3 Kalamazoo MI (WWMT) (1080p),,Undefined,no-safe-match
KMTVTV31.us@HD,CBS 3 Omaha NE (KMTV) (720p),,General,no-safe-match
KDBCTV41.us@HD,CBS 4 El Paso TX (KDBC) (1080p),,General,no-safe-match
WTVRTV61.us@HD,CBS 6 Richmond VA (WTVR) (720p),,Undefined,no-safe-match
KCCI81.us@HD,CBS 8 Des Moines IA (KCCI) (720p),,General,no-safe-match
KWTVDT91.us@HD,CBS 9 Oklahoma City OK (KWTV-DT1) (720p) [Not 24/7],,General,no-safe-match
WKRCTV121.us@HD,CBS 12 Cincinnati OH (WKRC) (1080p),,Undefined,no-safe-match
WPEC121.us@HD,CBS 12 West Palm Beach FL (WPEC) (1080p),,Undefined,no-safe-match
WHPDT1.us@SD,CBS 21 Harrisburg PA (WHP) (1080p),,Undefined,no-safe-match
WSBTTV281.us@SD,CBS 22 South Bend IN (WSBT) (1080p),,Undefined,no-safe-match
KEYETV421.us@HD,CBS 42 Austin TX (KEYE) (1080p),,General,no-safe-match
CCX1.us@SD,CCX1 (1080p),,General,no-safe-match
CelebritySceneTV.us@SD,Celebrity Scene TV (720p),,Undefined,no-safe-match
CerritosTV3.us@SD,Cerritos TV3 (360p),,General,no-safe-match
CFMTVChannel98.us@SD,CFM TV Channel 98 (360p),,Legislative,no-safe-match
CGTV.us@SD,Champaign Government Television (CGTV) (Champaign IL) (720p),,Legislative,no-safe-match
Channel10.us@SD,Channel 10 (720p),,Legislative,no-safe-match
ScottsdaleChannel11.us@SD,Channel 11 (Scottsdale AZ),,General,no-safe-match
Channel18GAC.us@SD,Channel 18 GAC,,Legislative,no-safe-match
CCTV.us@SD,Charlotte County CC-TV (Charlotte County FA) (720p),,Undefined,no-safe-match
ChefChampion.us@SD,Chef Champion (720p) [Not 24/7],,Cooking,no-safe-match
ChefRocShow.us@SD,Chef Roc Show (720p) [Not 24/7],,Cooking,no-safe-match
CityTVChannel341.us@SD,Chino Hills City TV Channel 3/41 (360p),,Legislative,no-safe-match
ChristianYouthChannelCYC.us@SD,Christian Youth Channel (CYC) (1080p),,Kids;Religious,no-safe-match
CinePride.us@SD,CinePride (720p),,Lifestyle,no-safe-match
Cinevault80s.us@SD,Cinevault 80s (720p),,Movies,no-safe-match
CityofMonroeGovernmentChannel.us@SD,City of Monroe Government Channel,,Legislative,no-safe-match
CapitalCityConnectionMontgomery.us@SD,City TV Capital City Connection [Not 24/7],,Legislative,no-safe-match
CityTVSanDiego.us@SD,CityTV San Diego (360p),,Legislative,no-safe-match
Clarity4K.us@SD,Clarity 4K (2160p) [Geo-blocked],,General,no-safe-match
CloudflareTV.us@SD,Cloudflare TV (720p),,Education,no-safe-match
CMCUSACountryMusicChannel.us@SD,CMC-USA Country Music Channel (720p),,Music,no-safe-match
WRDELD311.us@HD,CoastTV NBC (WRDE-LD) (720p) [Not 24/7],,Undefined,no-safe-match
CollierTV.us@SD,Collier Television CTV (Naples FL) (720p),,Legislative,no-safe-match
ComercioTV.us@SD,Comercio TV (1080p),,General,no-safe-match
ConcertChannel.us@SD,Concert Channel (720p),,Music,no-safe-match
ConcordTV.us@SD,Concord TV (Concord CA) (720p),,General,no-safe-match
ContraCostaTV.us@SD,Contra Costa College TV [Geo-blocked],,Legislative,no-safe-match
CookingPanda.us@SD,Cooking Panda (576p),,Cooking,no-safe-match
CMTV.us@SD,Costa Mesa's Municipal Access Channel CMTV 3 (720p),,General,no-safe-match
COStv.us@SD,COStv,,Legislative,no-safe-match
CreaTVChannel27.us@SD,CreaTV Bay Voice TV Channel 27 (San Jose CA) (720p),,General,no-safe-match
CreaTVChannel28.us@SD,CreaTV Classrooms Channel 28 (San Jose CA) (720p),,Education,no-safe-match
CreaTVChannel15.us@SD,CreaTV Community Channel 15 (San Jose CA) (720p),,General,no-safe-match
CreaTVChannel30.us@SD,CreaTV The Outlet Channel 30 (San Jose CA) (720p),,General,no-safe-match
Crime360.us@SD,Crime 360 (720p),,Documentary,no-safe-match
CruzTV.us@SD,Cruz TV,,Legislative,no-safe-match
CSatTV.us@SD,CSat TV (1080p) [Not 24/7],,Religious,no-safe-match
CTNCourtFeed.us@SD,CT-N Court Feed (360p) [Not 24/7],,Legislative,no-safe-match
CTNLiveStream2.us@SD,CT-N Live Stream 2 (360p) [Not 24/7],,Legislative,no-safe-match
CTNTVConneticut.us@SD,CT-N TV Conneticut (720p) [Not 24/7],,Legislative,no-safe-match
CVTVChannel192.us@SD,CVTV Channel 192 (1080p),,General,no-safe-match
CVTVChannel194.us@SD,CVTV Channel 194 (1080p),,General,no-safe-match
CypressChannel36.us@SD,Cypress Public Access Channel 36 (Cypress CA) (360p),,Legislative,no-safe-match
Dateline247.us@SD,Dateline 24/7 (1080p),,Documentary,no-safe-match
DaystarTVEspanol.us@SD,Daystar Español (720p),,Religious,no-safe-match
DCC.us@SD,DC Council Channel (1080p),,Legislative,no-safe-match
DCCouncilHearingRoom120.us@SD,DC.gov Council Hearing Room 120 (Washington DC) (1080p),,Legislative,no-safe-match
DKN.us@SD,DC.gov DKN (Washington DC) (1080p),,Education,no-safe-match
DegaTV.us@SD,Dega TV (720p) [Not 24/7],,Music,no-safe-match
Denver8TV.us@SD,Denver 8 TV (Denver CO) (720p),,Legislative,no-safe-match
DerryTV17.us@SD,DerryTV 17 (720p),,Legislative,no-safe-match
DerryTV23.us@SD,DerryTV 23 (720p),,Education;General,no-safe-match
DetroitChannel10.us@SD,Detroit Channel 10,,Legislative,no-safe-match
DetroitChannel21.us@SD,Detroit Channel 21,,General,no-safe-match
DetroitChannel22.us@SD,Detroit Channel 22,,Education,no-safe-match
DetroitChannel68.us@SD,Detroit Channel 68,,General,no-safe-match
