id,name,group,match_kind,match_score,candidate_xmltv_id,candidate_name,site,attempt_used,programmes,success
OmideIranTV.us@SD,Omide Iran,Entertainment,,,,,,,0,NO
Roar.us@SD,Roar (1080p),Entertainment,,,,,,,0,NO
StarChannelInternational.gr@HD,STAR International (720p),Entertainment,,,,,,,0,NO
Shabakeh7.us@SD,Shabakeh 7,Entertainment,,,,,,,0,NO
TVSFlashbackNetwork.us@SD,TVS Flashback Network (360p),Entertainment,,,,,,,0,NO
TVSVintageNetwork.us@SD,TVS Vintage Network (360p),Entertainment,,,,,,,0,NO
TalkinLiveClassicsTV.us@SD,Talkin Live Classics TV (480p),Entertainment,,,,,,,0,NO
TeleBoston.us@SD,Tele Boston (480p),Entertainment,,,,,,,0,NO
TeleMIX.us@SD,TeleMIX (720p),Entertainment,,,,,,,0,NO
TelemundoCorpusChristi.us@SD,Telemundo Corpus Christi (720p),Entertainment,,,,,,,0,NO
TinTV.us@SD,Tin TV (720p),Entertainment,,,,,,,0,NO
TurismoHD.do@HD,Turismo HD (720p),Entertainment,,,,,,,0,NO
WWONTVChannel48.us@SD,WWON TV CH 48,Entertainment,,,,,,,0,NO
YTATV.us@SD,YTA TV (720p),Entertainment,,,,,,,0,NO
YoungHollywood.us@SD,Young Hollywood (1080p) [Geo-blocked],Entertainment,,,,,,,0,NO
TNTInternational.ru@SD,"like Gecko) Chrome/144.0.0.0 Safari/537.36"" group-title=""Entertainment"",ТНТ International (480p)",Entertainment,,,,,,,0,NO
ETVTelugu.in@USA,"like Gecko) Chrome/145.0.0.0 Safari/537.36"" group-title=""Entertainment"",ETV Telugu USA (720p)",Entertainment,,,,,,,0,NO
KCWX351.us@HD,myTV San Antonio TX (KCWX-TV) (720p) [Not 24/7],Entertainment,,,,,,,0,NO
30ATVClassicMovies.us@SD,30A TV Classic Movies (720p),Movies,,,,,,,0,NO
ABNBibleMoviesChannel.us@SD,ABN Bible Movies (720p),Movies;Religious,,,,,,,0,NO
AdrenalinaPuraTV.us@SD,Adrenalina Pura TV (720p),Movies,fuzzy,1.0000,AdrenalinaPuraTV.us@Brazil,Adrenalina Pura TV,i.mjh.nz,1,7,YES
AmericanHorrors.us@SD,American Horrors (480p),Movies,,,,,,,0,NO
ARTFLIXMovieClassics.us@SD,Artflix Movie Classics (720p),Classic;Movies,,,,,,,0,NO
EBSCinema.us@SD,EBS Cinema (720p),Movies,,,,,,,0,NO
PlutoTVEstrellasdeAccion.us@SD,Estrellas de Acción,Movies,fuzzy,1.0000,,Estrellas de Acción,i.mjh.nz,1,8,YES
KPVMLD252.us@SD,KPVM Movies!,Movies,fuzzy,1.0000,,KPVM Movies!,ontvtonight.com,1,12,YES
MagnificentMoviesNetwork.us@SD,Magnificent Movies Network,Movies;Shop,,,,,,,0,NO
WhiplashCinema.us@SD,Whiplash Cinema (480p),Movies,,,,,,,0,NO
UniversalComedy.us@SD,"like Gecko) Chrome/124.0.0.0 Safari/537.36"" group-title=""Comedy;Movies;Series"",Universal Comedy (1080p)",Comedy;Movies;Series,exact,1.0000,UniversalComedy.us@SD,Canal Universal Comedy,gatotv.com,1,49,YES
PlutoTVDogelcazarrecompensas.us@SD,Dog el cazarrecompensas,Series,fuzzy,1.0000,,Dog el cazarrecompensas,i.mjh.nz,1,28,YES
InstantSaga.us@US,Instant Saga,Series,fuzzy,1.0000,InstantSaga.us@France,Instant Saga,i.mjh.nz,1,8,YES
PlutoTVMinutoParaGanar.us@SD,Minuto Para Ganar,Series,fuzzy,1.0000,,Minuto Para Ganar,i.mjh.nz,1,15,YES
PlutoTVMisteriosMedicos.us@SD,Misterios Medicos,Series,fuzzy,1.0000,,Misterios Medicos,i.mjh.nz,1,21,YES
PlutoTVSanctuary.us@SD,Sanctuary,Series,fuzzy,1.0000,,Sanctuary,i.mjh.nz,1,17,YES
TheChatShowChannel.uk@SD,The Chat Show Channel (1080p),Comedy;Series,,,,,,,0,NO
PlutoTVWipeout.us@SD,Wipeout,Series,fuzzy,1.0000,,Wipeout,i.mjh.nz,1,5,YES
3ABNKids.us@SD,3ABN Kids Network,Animation;Kids;Religious,,,,,,,0,NO
BBCKids.us@SD,BBC Kids (720p),Kids,,,,,,,0,NO
BabyFirst.us@US,BabyFirst (720p),Kids,exact,1.0000,BabyFirst.us@US,Canal BabyFirst TV,gatotv.com,1,47,YES
ChristianYouthChannelCYC.us@SD,Christian Youth Channel (CYC) (1080p),Kids;Religious,,,,,,,0,NO
GiggleMug.us@SD,Giggle Mug (576p),Kids,,,,,,,0,NO
LogosTVKids.es@SD,Logos TV Kids (720p) [Not 24/7],Kids;Religious,,,,,,,0,NO
MCN6MusicChannel.us@SD,MCN6 Music Channel (1080p) [Not 24/7],Animation;Kids;Music,,,,,,,0,NO
NCMEducationalKidsChannel.us@SD,NCM Educational & Kids Channel,Education;Kids,,,,,,,0,NO
PBSKidsAlaska.us@SD,PBS Kids Alaska (1080p),Education;Kids,,,,,,,0,NO
PBSKidsEasternCentral.us@SD,PBS Kids Eastern/Central (720p),Education;Kids,,,,,,,0,NO
PBSKidsHawaii.us@SD,PBS Kids Hawaii (720p),Education;Kids,,,,,,,0,NO
PBSKidsMountain.us@SD,PBS Kids Mountain (1080p),Education;Kids,,,,,,,0,NO
PBSKidsPacific.us@SD,PBS Kids Pacific (1080p),Education;Kids,,,,,,,0,NO
TomAndJerry.do@HD,Tom And Jerry (720p),Kids,,,,,,,0,NO
Atlas.us@SD,Atlas (480p),Documentary,,,,,,,0,NO
BloombergOriginals.us@SD,Bloomberg Originals (1080p),Business;Documentary,exact,1.0000,BloombergOriginals.us@SD,Bloomberg Originals,i.mjh.nz,2,5,YES
Docurama.us@SD,Docurama (1080p),Documentary,,,,,,,0,NO
KPVMLD256.us@SD,KPVM Story Television,Documentary,,,,,,,0,NO
KTOOTV33.us@HD,KTOO 360TV 3 (FNX),Documentary,,,,,,,0,NO
NationalGeographic.us@East,National Geographic (720p),Documentary,exact,1.0000,NationalGeographic.us@East,National Geographic US - Eastern,tvpassport.com,1,28,YES
NationalGeographicWild.us@East,National Geographic Wild (720p),Documentary,exact,1.0000,NationalGeographicWild.us@East,National Geographic Wild HD,tvpassport.com,1,29,YES
30ARidiculousTV.us@SD,30A Ridiculous TV (720p),Comedy,,,,,,,0,NO
AFVEspanol.us@SD,AFV en Español (720p) [Not 24/7],Comedy,,,,,,,0,NO
CameraSmileTV.us@SD,Camera Smile (480p),Comedy,,,,,,,0,NO
ComedyCentralAnimation.us@SD,Comedy Central Animation,Comedy,fuzzy,1.0000,,Comedy Central Animation,i.mjh.nz,1,43,YES
Gagsnetwork.us@SD,Gagsnetwork (576p),Comedy,fuzzy,1.0000,,Gagsnetwork,tv.mail.ru,1,77,YES
HumorMill.us@SD,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Comedy"",Humor Mill (1080p)",Comedy,,,,,,,0,NO
KMBYLD275.us@SD,Blues TV,Animation,fuzzy,1.0000,,Blues,ontvtonight.com,1,24,YES
Narutoenespanol.us@SD,Naruto,Animation,fuzzy,1.0000,,Naruto,i.mjh.nz,1,11,YES
Placid.us@EastHD,Placid (1080p) [Not 24/7],Animation,,,,,,,0,NO
