id,name,group,site,site_id,xmltv_id,safe,channel_file,guide_file,source_file
XFCTV.us@SD,XFC TV,Sports,distro.tv,51671,XFCTV.us@SD,XFCTV_us_SD,XFCTV_us_SD.channels.xml,XFCTV_us_SD.guide.xml,_iptv_epg/sites/distro.tv/distro.tv.channels.xml
beINSportsUSA.us@SD,beIN Sports (English),Sports,ontvtonight.com,us#317907389/bein-sports-english,beINSportsUSA.us@SD,beINSportsUSA_us_SD,beINSportsUSA_us_SD.channels.xml,beINSportsUSA_us_SD.guide.xml,_iptv_epg/sites/ontvtonight.com/ontvtonight.com_us.channels.xml
WPLG101.us@HD,"ABC (WPLG-DT1) Miami, FL",News,tvtv.us,20493,WPLG101.us@HD,WPLG101_us_HD,WPLG101_us_HD.channels.xml,WPLG101_us_HD.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml
WMARTV21.us@HD,ABC (WMAR-DT1) Washington D.C.,News,tvtv.us,21230,WMARTV21.us@HD,WMARTV21_us_HD,WMARTV21_us_HD.channels.xml,WMARTV21_us_HD.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml
WTXLTV271.us@HD,"ABC (WTXL1) Tallahassee, FL",News,tvtv.us,43832,WTXLTV271.us@HD,WTXLTV271_us_HD,WTXLTV271_us_HD.channels.xml,WTXLTV271_us_HD.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml
WMURTV91.us@HD,"ABC (WMUR) Manchester, NH HD",News;Weather,tvpassport.com,abc-wmur-manchester-nh-hd/3655,WMURTV91.us@HD,WMURTV91_us_HD,WMURTV91_us_HD.channels.xml,WMURTV91_us_HD.guide.xml,_iptv_epg/sites/tvpassport.com/tvpassport.com.channels.xml
WFTV91.us@HD,"ABC 9 (WFTV-DT1) Orlando, FL",News,tvtv.us,20491,WFTV91.us@HD,WFTV91_us_HD,WFTV91_us_HD.channels.xml,WFTV91_us_HD.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml
WWAY31.us@HD,"ABC (WWAY) Wilmington, NC",News,tvtv.us,43730,WWAY31.us@HD,WWAY31_us_HD,WWAY31_us_HD.channels.xml,WWAY31_us_HD.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml
AmericasVoice.us@SD,America's Voice,News,i.mjh.nz,Roku/all#d748045d77105901b8e25fcc34aa9e2f,AmericasVoice.us@SD,AmericasVoice_us_SD,AmericasVoice_us_SD.channels.xml,AmericasVoice_us_SD.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_roku.channels.xml
EntertainmentTonight.us@SD,Entertainment Tonight,Entertainment;News,i.mjh.nz,Plex/us#5e20b730f2f8d5003d739db7-6578bb741a12778a8550d158,EntertainmentTonight.us@SD,EntertainmentTonight_us_SD,EntertainmentTonight_us_SD.channels.xml,EntertainmentTonight_us_SD.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_plex.channels.xml
WXIITV201.us@HD,"NBC (WXII) Winston-Salem, NC HD",News,tvpassport.com,nbc-wxii-winston-salem-nc-hd/4721,WXIITV201.us@HD,WXIITV201_us_HD,WXIITV201_us_HD.channels.xml,WXIITV201_us_HD.guide.xml,_iptv_epg/sites/tvpassport.com/tvpassport.com.channels.xml
WGAL81.us@HD,"NBC (WGAL) Lancaster, PA HD",News,tvpassport.com,nbc-wgal-lancaster-pa-hd/6701,WGAL81.us@HD,WGAL81_us_HD,WGAL81_us_HD.channels.xml,WGAL81_us_HD.guide.xml,_iptv_epg/sites/tvpassport.com/tvpassport.com.channels.xml
